Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][1120/1856]: lr: 0.000302, aux_loss_cls: 0.034057, aux_loss_reg: 0.268497, rpn_loc_loss: 0.537056, rpn_cls_loss: 0.246808, rpn_dir_loss: 0.127315, loss_cls: 0.149205, loss: 1.362939
epoch[1][1140/1856]: lr: 0.000302, aux_loss_cls: 0.033495, aux_loss_reg: 0.267861, rpn_loc_loss: 0.525253, rpn_cls_loss: 0.254615, rpn_dir_loss: 0.128174, loss_cls: 0.150349, loss: 1.359746
epoch[1][1160/1856]: lr: 0.000303, aux_loss_cls: 0.039709, aux_loss_reg: 0.275317, rpn_loc_loss: 0.556172, rpn_cls_loss: 0.268251, rpn_dir_loss: 0.124574, loss_cls: 0.162447, loss: 1.426470
epoch[1][1180/1856]: lr: 0.000303, aux_loss_cls: 0.038047, aux_loss_reg: 0.248193, rpn_loc_loss: 0.554685, rpn_cls_loss: 0.265470, rpn_dir_loss: 0.126510, loss_cls: 0.156516, loss: 1.389420
epoch[1][1200/1856]: lr: 0.000303, aux_loss_cls: 0.034361, aux_loss_reg: 0.268264, rpn_loc_loss: 0.512104, rpn_cls_loss: 0.244331, rpn_dir_loss: 0.123551, loss_cls: 0.142358, loss: 1.324968
epoch[1][1220/1856]: lr: 0.000303, aux_loss_cls: 0.034310, aux_loss_reg: 0.270685, rpn_loc_loss: 0.495743, rpn_cls_loss: 0.234572, rpn_dir_loss: 0.124168, loss_cls: 0.142637, loss: 1.302115
epoch[1][1240/1856]: lr: 0.000303, aux_loss_cls: 0.034126, aux_loss_reg: 0.247844, rpn_loc_loss: 0.465383, rpn_cls_loss: 0.246044, rpn_dir_loss: 0.123238, loss_cls: 0.145244, loss: 1.261879
epoch[1][1260/1856]: lr: 0.000303, aux_loss_cls: 0.033942, aux_loss_reg: 0.247343, rpn_loc_loss: 0.495733, rpn_cls_loss: 0.236192, rpn_dir_loss: 0.119806, loss_cls: 0.147887, loss: 1.280903
epoch[1][1280/1856]: lr: 0.000303, aux_loss_cls: 0.034184, aux_loss_reg: 0.240266, rpn_loc_loss: 0.531607, rpn_cls_loss: 0.232151, rpn_dir_loss: 0.122000, loss_cls: 0.143023, loss: 1.303231
epoch[1][1300/1856]: lr: 0.000303, aux_loss_cls: 0.035278, aux_loss_reg: 0.251683, rpn_loc_loss: 0.492062, rpn_cls_loss: 0.236544, rpn_dir_loss: 0.126474, loss_cls: 0.139393, loss: 1.281434
epoch[1][1320/1856]: lr: 0.000303, aux_loss_cls: 0.035893, aux_loss_reg: 0.248681, rpn_loc_loss: 0.492987, rpn_cls_loss: 0.237007, rpn_dir_loss: 0.127426, loss_cls: 0.137718, loss: 1.279711
epoch[1][1340/1856]: lr: 0.000303, aux_loss_cls: 0.038609, aux_loss_reg: 0.301579, rpn_loc_loss: 0.527737, rpn_cls_loss: 0.257504, rpn_dir_loss: 0.127303, loss_cls: 0.143799, loss: 1.396531
epoch[1][1360/1856]: lr: 0.000303, aux_loss_cls: 0.035475, aux_loss_reg: 0.232422, rpn_loc_loss: 0.508768, rpn_cls_loss: 0.242940, rpn_dir_loss: 0.122381, loss_cls: 0.149633, loss: 1.291619
epoch[1][1380/1856]: lr: 0.000304, aux_loss_cls: 0.033366, aux_loss_reg: 0.248843, rpn_loc_loss: 0.482959, rpn_cls_loss: 0.229596, rpn_dir_loss: 0.121519, loss_cls: 0.144565, loss: 1.260847
epoch[1][1400/1856]: lr: 0.000304, aux_loss_cls: 0.031053, aux_loss_reg: 0.231948, rpn_loc_loss: 0.536439, rpn_cls_loss: 0.246894, rpn_dir_loss: 0.122621, loss_cls: 0.140241, loss: 1.309195
epoch[1][1420/1856]: lr: 0.000304, aux_loss_cls: 0.030198, aux_loss_reg: 0.240918, rpn_loc_loss: 0.459154, rpn_cls_loss: 0.218421, rpn_dir_loss: 0.120042, loss_cls: 0.138452, loss: 1.207186
epoch[1][1440/1856]: lr: 0.000304, aux_loss_cls: 0.039920, aux_loss_reg: 0.259549, rpn_loc_loss: 0.452092, rpn_cls_loss: 0.201581, rpn_dir_loss: 0.124137, loss_cls: 0.135160, loss: 1.212439
epoch[1][1460/1856]: lr: 0.000304, aux_loss_cls: 0.033317, aux_loss_reg: 0.250907, rpn_loc_loss: 0.458629, rpn_cls_loss: 0.227889, rpn_dir_loss: 0.119369, loss_cls: 0.129328, loss: 1.219438
epoch[1][1480/1856]: lr: 0.000304, aux_loss_cls: 0.036797, aux_loss_reg: 0.258952, rpn_loc_loss: 0.466134, rpn_cls_loss: 0.242159, rpn_dir_loss: 0.116648, loss_cls: 0.133892, loss: 1.254583
epoch[1][1500/1856]: lr: 0.000304, aux_loss_cls: 0.033123, aux_loss_reg: 0.237798, rpn_loc_loss: 0.491108, rpn_cls_loss: 0.241499, rpn_dir_loss: 0.120053, loss_cls: 0.130590, loss: 1.254171
epoch[1][1520/1856]: lr: 0.000304, aux_loss_cls: 0.033943, aux_loss_reg: 0.238490, rpn_loc_loss: 0.465469, rpn_cls_loss: 0.225970, rpn_dir_loss: 0.116622, loss_cls: 0.132812, loss: 1.213308
