Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][720/1856]: lr: 0.000301, aux_loss_cls: 0.109687, aux_loss_reg: 0.558609, rpn_loc_loss: 1.277650, rpn_cls_loss: 0.590905, rpn_dir_loss: 0.135749, loss_cls: 0.205480, loss: 2.878080
epoch[1][740/1856]: lr: 0.000301, aux_loss_cls: 0.114422, aux_loss_reg: 0.613494, rpn_loc_loss: 1.413368, rpn_cls_loss: 0.612576, rpn_dir_loss: 0.141683, loss_cls: 0.198239, loss: 3.093783
epoch[1][760/1856]: lr: 0.000301, aux_loss_cls: 0.110813, aux_loss_reg: 0.557211, rpn_loc_loss: 1.333856, rpn_cls_loss: 0.588373, rpn_dir_loss: 0.138147, loss_cls: 0.224533, loss: 2.952932
epoch[1][780/1856]: lr: 0.000301, aux_loss_cls: 0.123101, aux_loss_reg: 0.605438, rpn_loc_loss: 1.247314, rpn_cls_loss: 0.599173, rpn_dir_loss: 0.137478, loss_cls: 0.205402, loss: 2.917906
epoch[1][800/1856]: lr: 0.000301, aux_loss_cls: 0.109208, aux_loss_reg: 0.568988, rpn_loc_loss: 1.246055, rpn_cls_loss: 0.598143, rpn_dir_loss: 0.137886, loss_cls: 0.194933, loss: 2.855213
epoch[1][820/1856]: lr: 0.000301, aux_loss_cls: 0.116281, aux_loss_reg: 0.562478, rpn_loc_loss: 1.205823, rpn_cls_loss: 0.591088, rpn_dir_loss: 0.138284, loss_cls: 0.187914, loss: 2.801868
epoch[1][840/1856]: lr: 0.000301, aux_loss_cls: 0.109902, aux_loss_reg: 0.556274, rpn_loc_loss: 1.277461, rpn_cls_loss: 0.584078, rpn_dir_loss: 0.137050, loss_cls: 0.196330, loss: 2.861094
epoch[1][860/1856]: lr: 0.000301, aux_loss_cls: 0.100851, aux_loss_reg: 0.539487, rpn_loc_loss: 1.185402, rpn_cls_loss: 0.584631, rpn_dir_loss: 0.137597, loss_cls: 0.190862, loss: 2.738830
epoch[1][880/1856]: lr: 0.000301, aux_loss_cls: 0.109973, aux_loss_reg: 0.573558, rpn_loc_loss: 1.264295, rpn_cls_loss: 0.595307, rpn_dir_loss: 0.139439, loss_cls: 0.182614, loss: 2.865185
epoch[1][900/1856]: lr: 0.000302, aux_loss_cls: 0.097920, aux_loss_reg: 0.569492, rpn_loc_loss: 1.205241, rpn_cls_loss: 0.585151, rpn_dir_loss: 0.138834, loss_cls: 0.181044, loss: 2.777682
epoch[1][920/1856]: lr: 0.000302, aux_loss_cls: 0.100743, aux_loss_reg: 0.565205, rpn_loc_loss: 1.261500, rpn_cls_loss: 0.594766, rpn_dir_loss: 0.138365, loss_cls: 0.163971, loss: 2.824550
epoch[1][940/1856]: lr: 0.000302, aux_loss_cls: 0.123521, aux_loss_reg: 0.601061, rpn_loc_loss: 1.205429, rpn_cls_loss: 0.597979, rpn_dir_loss: 0.138374, loss_cls: 0.176100, loss: 2.842464
epoch[1][960/1856]: lr: 0.000302, aux_loss_cls: 0.130110, aux_loss_reg: 0.593471, rpn_loc_loss: 1.224002, rpn_cls_loss: 0.600787, rpn_dir_loss: 0.139452, loss_cls: 0.180996, loss: 2.868819
epoch[1][980/1856]: lr: 0.000302, aux_loss_cls: 0.124272, aux_loss_reg: 0.586499, rpn_loc_loss: 1.222406, rpn_cls_loss: 0.595510, rpn_dir_loss: 0.139408, loss_cls: 0.162210, loss: 2.830306
epoch[1][1000/1856]: lr: 0.000302, aux_loss_cls: 0.110024, aux_loss_reg: 0.573351, rpn_loc_loss: 1.236082, rpn_cls_loss: 0.589786, rpn_dir_loss: 0.138743, loss_cls: 0.162351, loss: 2.810337
epoch[1][1020/1856]: lr: 0.000302, aux_loss_cls: 0.111772, aux_loss_reg: 0.545656, rpn_loc_loss: 1.220435, rpn_cls_loss: 0.607873, rpn_dir_loss: 0.138871, loss_cls: 0.296395, loss: 2.921002
epoch[1][1040/1856]: lr: 0.000302, aux_loss_cls: 0.103770, aux_loss_reg: 0.548552, rpn_loc_loss: 1.222105, rpn_cls_loss: 0.620492, rpn_dir_loss: 0.137173, loss_cls: 0.197175, loss: 2.829268
epoch[1][1060/1856]: lr: 0.000302, aux_loss_cls: 0.106070, aux_loss_reg: 0.593411, rpn_loc_loss: 1.330465, rpn_cls_loss: 0.610479, rpn_dir_loss: 0.136495, loss_cls: 0.242529, loss: 3.019451
epoch[1][1080/1856]: lr: 0.000302, aux_loss_cls: 0.101895, aux_loss_reg: 0.577676, rpn_loc_loss: 1.219349, rpn_cls_loss: 0.582499, rpn_dir_loss: 0.137171, loss_cls: 0.222156, loss: 2.840747
epoch[1][1100/1856]: lr: 0.000302, aux_loss_cls: 0.111789, aux_loss_reg: 0.580016, rpn_loc_loss: 1.200850, rpn_cls_loss: 0.584487, rpn_dir_loss: 0.137961, loss_cls: 0.211585, loss: 2.826687
epoch[1][1120/1856]: lr: 0.000302, aux_loss_cls: 0.109259, aux_loss_reg: 0.541483, rpn_loc_loss: 1.293729, rpn_cls_loss: 0.603945, rpn_dir_loss: 0.138934, loss_cls: 0.245527, loss: 2.932878
epoch[1][1140/1856]: lr: 0.000302, aux_loss_cls: 0.109453, aux_loss_reg: 0.550453, rpn_loc_loss: 1.159216, rpn_cls_loss: 0.600446, rpn_dir_loss: 0.137970, loss_cls: 0.195841, loss: 2.753379
epoch[1][1160/1856]: lr: 0.000303, aux_loss_cls: 0.096837, aux_loss_reg: 0.548533, rpn_loc_loss: 1.204421, rpn_cls_loss: 0.592591, rpn_dir_loss: 0.136322, loss_cls: 0.214098, loss: 2.792801
epoch[1][1180/1856]: lr: 0.000303, aux_loss_cls: 0.119261, aux_loss_reg: 0.580721, rpn_loc_loss: 1.223064, rpn_cls_loss: 0.596189, rpn_dir_loss: 0.139346, loss_cls: 0.171596, loss: 2.830177
epoch[1][1200/1856]: lr: 0.000303, aux_loss_cls: 0.099298, aux_loss_reg: 0.539915, rpn_loc_loss: 1.240506, rpn_cls_loss: 0.581983, rpn_dir_loss: 0.137053, loss_cls: 0.168035, loss: 2.766790
epoch[1][1220/1856]: lr: 0.000303, aux_loss_cls: 0.100888, aux_loss_reg: 0.575190, rpn_loc_loss: 1.134058, rpn_cls_loss: 0.570911, rpn_dir_loss: 0.135462, loss_cls: 0.164188, loss: 2.680697
epoch[1][1240/1856]: lr: 0.000303, aux_loss_cls: 0.106412, aux_loss_reg: 0.563545, rpn_loc_loss: 1.177601, rpn_cls_loss: 0.583581, rpn_dir_loss: 0.139262, loss_cls: 0.175793, loss: 2.746195
epoch[1][1260/1856]: lr: 0.000303, aux_loss_cls: 0.110967, aux_loss_reg: 0.556785, rpn_loc_loss: 1.260402, rpn_cls_loss: 0.599855, rpn_dir_loss: 0.140117, loss_cls: 0.145385, loss: 2.813511
epoch[1][1280/1856]: lr: 0.000303, aux_loss_cls: 0.100367, aux_loss_reg: 0.498059, rpn_loc_loss: 1.210896, rpn_cls_loss: 0.567471, rpn_dir_loss: 0.137135, loss_cls: 0.177237, loss: 2.691166
